number,available_bikes,available_bike_stands,last_update
1,13,16,"2025-02-18 10:32:35"
1,15,14,"2025-02-18 10:56:41"
1,15,16,"2025-02-18 11:17:34"
1,15,16,"2025-02-18 12:29:36"
1,16,15,"2025-02-18 13:02:07"
1,17,14,"2025-02-18 13:20:23"
1,19,12,"2025-02-18 13:30:27"
1,4,27,"2025-02-18 19:25:58"
1,7,24,"2025-02-18 19:47:47"
1,20,11,"2025-02-22 07:51:42"
1,19,12,"2025-02-22 08:02:06"
1,19,12,"2025-02-22 08:11:55"
1,17,14,"2025-02-22 09:02:24"
1,17,14,"2025-02-22 09:12:30"
1,17,14,"2025-02-22 09:22:35"
1,19,12,"2025-02-22 09:42:45"
1,19,12,"2025-02-22 09:52:51"
1,20,11,"2025-02-22 10:27:54"
1,22,9,"2025-02-22 10:43:27"
1,21,10,"2025-02-22 10:53:33"
1,22,9,"2025-02-22 11:03:40"
1,23,8,"2025-02-22 11:26:43"
1,24,7,"2025-02-22 11:33:55"
1,26,5,"2025-02-22 12:01:10"
1,28,3,"2025-02-22 12:11:18"
1,28,3,"2025-02-22 12:14:21"
1,27,4,"2025-02-22 12:38:19"
1,28,3,"2025-02-22 12:44:39"
1,29,2,"2025-02-22 12:58:12"
1,31,0,"2025-02-22 13:15:02"
1,28,3,"2025-02-22 13:39:28"
1,28,3,"2025-02-22 13:45:19"
1,28,3,"2025-02-22 14:00:42"
1,28,3,"2025-02-22 14:15:36"
1,28,3,"2025-02-22 14:25:41"
1,29,2,"2025-02-22 14:45:53"
1,29,2,"2025-02-22 14:55:58"
1,27,4,"2025-02-22 15:06:11"
1,21,10,"2025-02-22 15:16:23"
1,25,6,"2025-02-22 15:31:31"
1,25,6,"2025-02-22 15:36:33"
1,25,6,"2025-02-22 15:46:39"
1,25,6,"2025-02-22 15:56:46"
1,24,7,"2025-02-22 16:16:58"
1,24,7,"2025-02-22 16:40:51"
1,26,5,"2025-02-22 16:57:41"
1,26,5,"2025-02-22 17:07:35"
1,24,7,"2025-02-22 17:23:43"
1,20,11,"2025-02-22 17:52:33"
1,21,10,"2025-02-22 18:03:54"
1,21,10,"2025-02-22 18:08:21"
1,18,13,"2025-02-22 18:22:40"
1,18,13,"2025-02-22 18:28:38"
1,19,12,"2025-02-22 18:41:54"
1,19,12,"2025-02-22 18:48:50"
1,19,12,"2025-02-22 18:59:29"
1,17,14,"2025-02-22 19:13:20"
1,16,15,"2025-02-22 19:29:19"
1,16,15,"2025-02-22 19:39:24"
1,15,16,"2025-02-22 19:59:36"
2,3,17,"2025-02-18 10:31:39"
2,3,17,"2025-02-18 10:55:05"
2,3,17,"2025-02-18 11:16:22"
2,9,11,"2025-02-18 12:32:37"
2,8,12,"2025-02-18 13:02:50"
2,7,13,"2025-02-18 13:13:56"
2,6,14,"2025-02-18 13:29:28"
2,5,15,"2025-02-18 19:25:52"
2,4,16,"2025-02-18 19:46:02"
2,0,20,"2025-02-22 07:58:42"
2,0,20,"2025-02-22 08:08:46"
2,0,20,"2025-02-22 08:59:06"
2,0,20,"2025-02-22 09:19:13"
2,0,20,"2025-02-22 09:29:17"
2,0,20,"2025-02-22 09:39:21"
2,0,20,"2025-02-22 09:59:28"
2,0,20,"2025-02-22 10:19:36"
2,0,20,"2025-02-22 10:39:43"
2,0,20,"2025-02-22 11:09:54"
2,1,19,"2025-02-22 11:30:01"
2,0,20,"2025-02-22 12:00:13"
2,0,20,"2025-02-22 12:20:21"
2,0,20,"2025-02-22 12:30:25"
2,0,20,"2025-02-22 12:55:42"
2,2,18,"2025-02-22 13:15:38"
2,1,19,"2025-02-22 13:40:55"
2,1,19,"2025-02-22 13:50:59"
2,2,18,"2025-02-22 14:21:11"
2,2,18,"2025-02-22 14:41:19"
2,1,19,"2025-02-22 14:51:25"
2,1,19,"2025-02-22 15:01:28"
2,0,20,"2025-02-22 15:11:33"
2,3,17,"2025-02-22 15:30:25"
2,3,17,"2025-02-22 15:41:45"
2,1,19,"2025-02-22 16:01:56"
2,2,18,"2025-02-22 16:22:07"
2,0,20,"2025-02-22 16:42:17"
2,1,19,"2025-02-22 16:52:22"
2,1,19,"2025-02-22 17:02:25"
2,1,19,"2025-02-22 17:22:33"
2,0,20,"2025-02-22 17:52:45"
2,0,20,"2025-02-22 18:02:49"
2,0,20,"2025-02-22 18:12:53"
2,1,19,"2025-02-22 18:33:01"
2,1,19,"2025-02-22 18:43:04"
2,2,18,"2025-02-22 19:13:17"
2,3,17,"2025-02-22 19:29:48"
2,3,17,"2025-02-22 19:43:30"
2,3,17,"2025-02-22 20:03:38"
3,4,16,"2025-02-18 10:33:15"
3,3,17,"2025-02-18 10:53:28"
3,1,19,"2025-02-18 11:13:41"
3,1,19,"2025-02-18 12:30:30"
3,6,14,"2025-02-18 13:03:09"
3,7,13,"2025-02-18 13:18:31"
3,7,13,"2025-02-18 13:25:01"
3,4,16,"2025-02-18 19:28:55"
3,4,16,"2025-02-18 19:39:00"
3,5,15,"2025-02-22 07:51:35"
3,5,15,"2025-02-22 08:00:07"
3,5,15,"2025-02-22 09:00:30"
3,5,15,"2025-02-22 09:10:33"
3,5,15,"2025-02-22 09:20:36"
3,5,15,"2025-02-22 09:41:38"
3,5,15,"2025-02-22 09:50:46"
3,5,15,"2025-02-22 10:27:44"
